17.61,41.43
45.21,58.16
53.88,56.43
57.05,60.67
57.15,63.96
57.77,66.00
58.79,58.30
58.99,59.11
58.01,62.64
58.28,68.44
58.87,61.25
58.51,57.07
58.77,63.32
59.11,61.35
59.74,56.43
59.47,60.94
59.82,58.64
59.74,60.94
59.74,57.86
60.07,62.81
60.57,56.77
60.32,61.52
60.21,56.36
60.46,62.67
59.74,62.10
59.51,62.40
60.19,62.23
59.77,60.71
60.54,68.41
60.02,68.10
60.77,65.32
60.96,64.71
60.35,55.72
60.62,55.79
60.83,63.42
60.43,57.04
60.94,59.08
61.26,56.06
60.80,63.22
60.92,62.37
60.73,58.74
60.32,64.07
61.26,59.82
61.34,59.35
60.75,57.89
60.84,61.01
61.18,57.18
60.64,60.60
60.77,54.87
62.09,72.11
