32.81,49.03
54.72,62.57
63.85,60.47
67.11,62.91
69.23,68.14
72.63,73.60
75.23,73.60
74.58,73.77
76.54,73.97
77.73,72.79
77.57,74.35
79.20,73.97
79.33,76.31
80.09,68.27
80.58,76.48
82.45,78.15
82.77,71.73
82.90,77.91
82.90,78.01
83.95,73.53
83.84,77.71
84.70,76.25
85.91,74.48
85.08,79.81
86.24,79.78
87.32,81.17
86.93,76.11
87.80,82.73
88.98,82.12
88.28,80.45
89.55,82.93
90.04,81.85
90.41,80.83
90.74,82.97
90.34,82.22
91.69,82.42
91.44,84.73
92.53,85.37
92.15,84.46
90.15,82.35
91.50,83.92
92.49,84.15
92.48,84.49
92.71,83.00
92.70,84.56
92.79,85.78
93.36,86.73
93.06,87.11
93.84,84.87
94.22,85.24
