31.91,50.90
59.70,63.35
67.25,67.66
70.14,69.87
72.93,69.90
74.85,74.08
76.71,74.69
77.23,72.89
77.27,77.16
80.67,76.38
81.12,76.99
82.78,75.84
83.51,79.84
85.51,72.55
86.49,82.46
88.10,84.39
89.31,83.27
88.76,82.66
90.45,85.17
89.70,83.78
90.82,86.36
91.99,84.42
92.10,85.68
91.59,87.14
92.44,87.48
92.59,86.83
92.49,84.02
92.38,88.56
92.68,88.23
92.63,88.39
93.92,88.12
93.53,86.16
93.17,85.88
93.74,87.75
93.96,86.66
93.89,85.14
94.15,88.06
94.23,89.04
94.34,88.90
94.33,85.31
93.61,88.26
93.65,85.61
93.97,87.78
94.41,89.01
94.89,86.12
94.52,88.63
94.80,88.12
94.56,88.60
94.84,88.80
95.31,88.39
