33.64,57.92
56.26,63.90
63.93,56.77
67.08,66.00
69.86,68.54
73.01,72.41
75.57,74.52
75.22,73.50
76.73,74.99
78.22,73.63
77.79,74.82
79.30,75.03
79.76,77.40
80.11,67.15
80.36,76.59
82.59,77.50
82.66,71.26
83.41,78.08
83.31,78.49
83.98,74.69
83.73,76.42
85.07,76.89
85.98,76.38
85.77,79.95
86.45,78.59
87.54,80.52
87.72,78.11
87.98,81.74
87.99,81.20
88.56,82.56
89.55,81.07
90.42,82.73
90.97,81.51
90.95,83.68
90.81,82.08
91.50,81.54
91.17,84.76
92.59,84.87
92.51,85.00
92.52,84.63
91.87,83.61
92.00,84.97
93.04,84.46
92.42,82.12
92.80,83.85
93.53,86.43
94.34,86.49
94.00,86.77
92.90,84.93
93.31,86.16
